timestamp,consumo_kwh,metrica,equipamento_id
2025-06-14 20:00:00,694.0,min,SMV340200
2025-06-14 20:15:00,701.0,min,SMV340200
2025-06-14 20:30:00,699.0,min,SMV340200
2025-06-14 20:45:00,694.0,min,SMV340200
2025-06-14 21:00:00,696.0,min,SMV340200
2025-06-14 21:15:00,698.0,min,SMV340200
2025-06-14 21:30:00,693.0,min,SMV340200
2025-06-14 21:45:00,695.0,min,SMV340200
2025-06-14 22:00:00,690.0,min,SMV340200
2025-06-14 22:15:00,699.0,min,SMV340200
2025-06-14 22:30:00,696.0,min,SMV340200
2025-06-14 22:45:00,698.0,min,SMV340200
2025-06-14 23:00:00,697.0,min,SMV340200
2025-06-14 23:15:00,698.0,min,SMV340200
2025-06-14 23:30:00,697.0,min,SMV340200
2025-06-14 23:45:00,699.0,min,SMV340200
2025-06-15 00:00:00,701.0,min,SMV340200
2025-06-15 00:15:00,700.0,min,SMV340200
2025-06-15 00:30:00,699.0,min,SMV340200
2025-06-15 00:45:00,695.0,min,SMV340200
2025-06-15 01:00:00,699.0,min,SMV340200
2025-06-15 01:15:00,696.0,min,SMV340200
2025-06-15 01:30:00,695.0,min,SMV340200
2025-06-15 01:45:00,691.0,min,SMV340200
2025-06-15 02:00:00,689.0,min,SMV340200
2025-06-15 02:15:00,694.0,min,SMV340200
2025-06-15 02:30:00,690.0,min,SMV340200
2025-06-15 02:45:00,694.0,min,SMV340200
2025-06-15 03:00:00,693.0,min,SMV340200
2025-06-15 03:15:00,693.0,min,SMV340200
2025-06-15 03:30:00,702.0,min,SMV340200
2025-06-15 03:45:00,698.0,min,SMV340200
2025-06-15 04:00:00,700.0,min,SMV340200
2025-06-15 04:15:00,696.0,min,SMV340200
2025-06-15 04:30:00,697.0,min,SMV340200
2025-06-15 04:45:00,696.0,min,SMV340200
2025-06-15 05:00:00,697.0,min,SMV340200
2025-06-15 05:15:00,699.0,min,SMV340200
2025-06-15 05:30:00,697.0,min,SMV340200
2025-06-15 05:45:00,699.0,min,SMV340200
2025-06-15 06:00:00,698.0,min,SMV340200
2025-06-15 06:15:00,701.0,min,SMV340200
2025-06-15 06:30:00,697.0,min,SMV340200
2025-06-15 06:45:00,697.0,min,SMV340200
2025-06-15 07:00:00,698.0,min,SMV340200
2025-06-15 07:15:00,693.0,min,SMV340200
2025-06-15 07:30:00,693.0,min,SMV340200
2025-06-15 07:45:00,702.0,min,SMV340200
2025-06-15 08:00:00,690.0,min,SMV340200
2025-06-15 08:15:00,686.0,min,SMV340200
2025-06-15 08:30:00,687.0,min,SMV340200
2025-06-15 08:45:00,686.0,min,SMV340200
2025-06-15 09:00:00,683.0,min,SMV340200
2025-06-15 09:15:00,686.0,min,SMV340200
2025-06-15 09:30:00,689.0,min,SMV340200
2025-06-15 09:45:00,684.0,min,SMV340200
2025-06-15 10:00:00,687.0,min,SMV340200
2025-06-15 10:15:00,688.0,min,SMV340200
2025-06-15 10:30:00,688.0,min,SMV340200
2025-06-15 10:45:00,688.0,min,SMV340200
2025-06-15 11:00:00,672.0,min,SMV340200
2025-06-15 11:15:00,687.0,min,SMV340200
2025-06-15 11:30:00,688.0,min,SMV340200
2025-06-15 11:45:00,690.0,min,SMV340200
2025-06-15 12:00:00,689.0,min,SMV340200
2025-06-15 12:15:00,689.0,min,SMV340200
2025-06-15 12:30:00,689.0,min,SMV340200
2025-06-15 12:45:00,690.0,min,SMV340200
2025-06-15 13:00:00,688.0,min,SMV340200
2025-06-15 13:15:00,690.0,min,SMV340200
2025-06-15 13:30:00,688.0,min,SMV340200
2025-06-15 13:45:00,693.0,min,SMV340200
2025-06-15 14:00:00,694.0,min,SMV340200
2025-06-15 14:15:00,692.0,min,SMV340200
2025-06-15 14:30:00,693.0,min,SMV340200
2025-06-15 14:45:00,695.0,min,SMV340200
2025-06-15 15:00:00,694.0,min,SMV340200
2025-06-15 15:15:00,698.0,min,SMV340200
2025-06-15 15:30:00,697.0,min,SMV340200
2025-06-15 15:45:00,701.0,min,SMV340200
2025-06-15 16:00:00,700.0,min,SMV340200
2025-06-15 16:15:00,700.0,min,SMV340200
2025-06-15 16:30:00,709.0,min,SMV340200
2025-06-15 16:45:00,702.0,min,SMV340200
2025-06-15 17:00:00,698.0,min,SMV340200
2025-06-15 17:15:00,695.0,min,SMV340200
2025-06-15 17:30:00,698.0,min,SMV340200
2025-06-15 17:45:00,697.0,min,SMV340200
2025-06-15 18:00:00,695.0,min,SMV340200
2025-06-15 18:15:00,696.0,min,SMV340200
2025-06-15 18:30:00,694.0,min,SMV340200
2025-06-15 18:45:00,697.0,min,SMV340200
2025-06-15 19:00:00,695.0,min,SMV340200
2025-06-15 19:15:00,694.0,min,SMV340200
2025-06-15 19:30:00,696.0,min,SMV340200
2025-06-15 19:45:00,690.0,min,SMV340200
2025-06-15 20:00:00,693.0,min,SMV340200
2025-06-15 20:15:00,701.0,min,SMV340200
2025-06-15 20:30:00,685.0,min,SMV340200
2025-06-15 20:45:00,697.0,min,SMV340200
2025-06-15 21:30:00,693.0,min,SMV340200
2025-06-15 21:45:00,695.0,min,SMV340200
2025-06-15 22:00:00,697.0,min,SMV340200
2025-06-15 22:15:00,698.0,min,SMV340200
2025-06-15 22:30:00,694.0,min,SMV340200
2025-06-15 22:45:00,697.0,min,SMV340200
2025-06-15 23:00:00,697.0,min,SMV340200
2025-06-15 23:15:00,698.0,min,SMV340200
2025-06-15 23:30:00,697.0,min,SMV340200
2025-06-15 23:45:00,700.0,min,SMV340200
2025-06-16 00:00:00,697.0,min,SMV340200
2025-06-16 00:15:00,695.0,min,SMV340200
2025-06-16 00:30:00,698.0,min,SMV340200
2025-06-16 00:45:00,698.0,min,SMV340200
2025-06-16 01:00:00,699.0,min,SMV340200
2025-06-16 01:15:00,692.0,min,SMV340200
2025-06-16 01:30:00,694.0,min,SMV340200
2025-06-16 01:45:00,698.0,min,SMV340200
2025-06-16 02:00:00,695.0,min,SMV340200
2025-06-16 02:15:00,697.0,min,SMV340200
2025-06-16 02:30:00,686.0,min,SMV340200
2025-06-16 02:45:00,693.0,min,SMV340200
2025-06-16 03:00:00,695.0,min,SMV340200
2025-06-16 03:15:00,691.0,min,SMV340200
2025-06-16 03:30:00,687.0,min,SMV340200
2025-06-16 03:45:00,692.0,min,SMV340200
2025-06-16 04:00:00,691.0,min,SMV340200
2025-06-16 04:15:00,688.0,min,SMV340200
2025-06-16 04:30:00,686.0,min,SMV340200
2025-06-16 04:45:00,690.0,min,SMV340200
2025-06-16 05:30:00,682.0,min,SMV340200
2025-06-16 05:45:00,680.0,min,SMV340200
2025-06-16 06:00:00,682.0,min,SMV340200
2025-06-16 06:15:00,682.0,min,SMV340200
2025-06-16 06:30:00,681.0,min,SMV340200
2025-06-16 06:45:00,663.0,min,SMV340200
2025-06-16 07:00:00,681.0,min,SMV340200
2025-06-16 07:15:00,660.0,min,SMV340200
2025-06-16 07:30:00,683.0,min,SMV340200
2025-06-16 07:45:00,679.0,min,SMV340200
2025-06-16 08:00:00,679.0,min,SMV340200
2025-06-16 08:15:00,676.0,min,SMV340200
2025-06-16 08:30:00,680.0,min,SMV340200
2025-06-16 08:45:00,682.0,min,SMV340200
2025-06-16 09:00:00,677.0,min,SMV340200
2025-06-16 09:15:00,684.0,min,SMV340200
2025-06-16 09:30:00,682.0,min,SMV340200
2025-06-16 09:45:00,680.0,min,SMV340200
2025-06-16 10:00:00,685.0,min,SMV340200
2025-06-16 10:15:00,687.0,min,SMV340200
2025-06-16 10:30:00,668.0,min,SMV340200
2025-06-16 10:45:00,682.0,min,SMV340200
2025-06-16 11:00:00,684.0,min,SMV340200
2025-06-16 11:15:00,685.0,min,SMV340200
2025-06-16 11:30:00,664.0,min,SMV340200
2025-06-16 11:45:00,691.0,min,SMV340200
2025-06-16 12:00:00,693.0,min,SMV340200
2025-06-16 12:15:00,693.0,min,SMV340200
